index,视频长度,码率(Mbps),端到端时延,丢包率,时延(ms),卡顿次数,卡顿总时长,每次卡顿时长,卡顿开始位置,卡顿间隔,卡顿频率,MOS得分,最终得分,,start ,last,Row Mean,Row StdDev,Threshold Upper,Threshold Lower,Filtered Mean
287,10.00413394,5.15382,353.77,0.1,50,0,0,0,0,0,0,3.84375,3.48998,,261617,261859,3.84375,0.311032268,4.465814535,3.221685465,
288,10.00413394,5.02503,353.77,0.1,50,0,0,0,0,0,0,3.7625,3.40873,,261978,262220,3.7625,0.272226271,4.306952543,3.218047457,
289,9.962794543,5.07755,353.77,0.1,50,0,0,0,0,0,0,3.692857143,3.339087143,,262344,262585,3.75625,0.198993001,4.154236001,3.358263999,
290,10.00413394,5.05002,353.77,0.1,50,0,0,0,0,0,0,3.70625,3.35248,,262707,262949,3.70625,0.193533866,4.093317731,3.319182269,
291,10.00413394,5.13403,351.16,0.1,50,0,0,0,0,0,0,3.71625,3.36509,,263074,263316,3.71625,0.116366109,3.948982219,3.483517781,
292,9.921455147,5.07948,351.16,0.1,50,1,0.08,0.08,8.17,0,,3.83125,3.48009,,263441,263681,3.83125,0.27894892,4.38914784,3.27335216,
293,10.00413394,5.06904,351.16,0.1,50,0,0,0,0,0,0,3.895,3.54384,,263804,264046,3.895,0.216926584,4.328853168,3.461146832,
294,10.04547334,5.06721,351.16,0.1,50,0,0,0,0,0,0,3.807,3.45584,,264170,264413,3.807,0.181872797,4.170745594,3.443254406,
295,10.00413394,5.10934,351.16,0.1,50,0,0,0,0,0,0,3.89125,3.54009,,264535,264777,3.89125,0.176589718,4.244429436,3.538070564,
296,10.04547334,5.08871,351.16,0.1,50,0,0,0,0,0,0,3.8575,3.50634,,264903,265146,3.8575,0.393001272,4.643502545,3.071497455,
297,9.962794543,5.06125,351.16,0.1,50,0,0,0,0,0,0,3.8925,3.54134,,265275,265516,3.8925,0.271280035,4.435060069,3.349939931,
298,9.921455147,5.07355,351.16,0.1,50,0,0,0,0,0,0,3.7625,3.41134,,265638,265878,3.7625,0.272226271,4.306952543,3.218047457,
299,9.838776354,5.13634,351.16,0.1,50,0,0,0,0,0,0,3.83125,3.48009,,266004,266242,3.83125,0.27377976,4.378809521,3.283690479,
300,9.962794543,5.06155,351.16,0.1,50,0,0,0,0,0,0,3.835,3.48384,,266366,266607,3.835,0.14372593,4.122451859,3.547548141,
301,9.962794543,5.08346,321.21,0.1,50,0,0,0,0,0,0,3.862857143,3.541647143,,266731,266972,3.905,0.127279221,4.159558441,3.650441559,
302,9.838776354,5.00348,321.21,0.1,50,0,0,0,0,0,0,3.85375,3.53254,,267098,267336,3.85375,0.309789675,4.47332935,3.23417065,
